dictionary_id,dataset,domain,concept,variable_name,source_table_or_file,wave_or_cycle,definition,allowed_values,units,derivation_rule,missingness_rule,analysis_role,codebook_status,qa_status,notes
CHARLS_ID_001,CHARLS,identity,participant_id,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Unique respondent identifier,TODO_CODEBOOK_CHECK,not_applicable,Direct from verified codebook,Must be non-missing and stable across waves,key,TODO_CODEBOOK_CHECK,not_started,Do not assume ID name before codebook check.
CHARLS_ID_002,CHARLS,identity,household_id,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Household identifier if needed for clustering or household covariates,TODO_CODEBOOK_CHECK,not_applicable,Direct from verified codebook,Assess missingness and stability,covariate,TODO_CODEBOOK_CHECK,not_started,Optional unless needed for survey or household structure.
CHARLS_ID_003,CHARLS,identity,wave,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Survey wave or interview round,TODO_CODEBOOK_CHECK,not_applicable,Harmonize to numeric or labeled wave,Must be non-missing,key,TODO_CODEBOOK_CHECK,not_started,Needed for longitudinal ordering.
CHARLS_ID_004,CHARLS,identity,interview_date,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Interview date or year-month when available,TODO_CODEBOOK_CHECK,date,Harmonize to date or year,Document partial dates,covariate,TODO_CODEBOOK_CHECK,not_started,Needed for time scale when available.
CHARLS_DEMO_001,CHARLS,demographics,age,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Age at interview,TODO_CODEBOOK_CHECK,years,Prefer age at wave; derive from birth year only if verified,Check impossible values,covariate,TODO_CODEBOOK_CHECK,not_started,Core adjustment and CRVI standardization.
CHARLS_DEMO_002,CHARLS,demographics,sex,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Sex or gender variable used for standardization and subgroup analyses,TODO_CODEBOOK_CHECK,category,Direct from verified codebook,Must be harmonized consistently,covariate,TODO_CODEBOOK_CHECK,not_started,Required for PEF standardization.
CHARLS_RESP_001,CHARLS,low_respiratory_reserve,peak_expiratory_flow,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Peak expiratory flow measurement,TODO_CODEBOOK_CHECK,L/min or codebook_unit,Use verified best trial or mean rule; create standardized residual only after codebook check,Set invalid device/error codes to missing,exposure_component,TODO_CODEBOOK_CHECK,not_started,Primary low respiratory reserve component.
CHARLS_RESP_002,CHARLS,low_respiratory_reserve,peak_expiratory_flow_trials,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Individual PEF trial values if available,TODO_CODEBOOK_CHECK,L/min or codebook_unit,Derive best or reproducible PEF according to prespecified rule,Flag implausible trial patterns,qa_component,TODO_CODEBOOK_CHECK,not_started,Use only after trial coding is verified.
CHARLS_RESP_003,CHARLS,low_respiratory_reserve,height,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Measured or self-reported height,TODO_CODEBOOK_CHECK,cm or codebook_unit,Harmonize units before BMI and PEF standardization,Flag implausible values,covariate,TODO_CODEBOOK_CHECK,not_started,Required for PEF standardization and BMI.
CHARLS_RESP_004,CHARLS,low_respiratory_reserve,weight,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Measured or self-reported weight,TODO_CODEBOOK_CHECK,kg or codebook_unit,Harmonize units before BMI derivation,Flag implausible values,covariate,TODO_CODEBOOK_CHECK,not_started,Required for BMI.
CHARLS_RESP_005,CHARLS,low_respiratory_reserve,bmi,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Body mass index if available or derivable,TODO_CODEBOOK_CHECK,kg/m2,Prefer derived from verified height and weight unless official BMI variable is documented,Set missing if height or weight invalid,covariate_or_component,TODO_CODEBOOK_CHECK,not_started,Do not mix official and derived BMI without flag.
CHARLS_RESP_006,CHARLS,respiratory_outcome,chronic_lung_disease,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Self-reported physician diagnosis or survey-defined chronic lung disease,TODO_CODEBOOK_CHECK,binary,Harmonize to no/yes using codebook; document that this is not GOLD-COPD,Unknown/refused to missing unless prespecified,primary_outcome,TODO_CODEBOOK_CHECK,not_started,Main incident CLD outcome if event count sufficient.
CHARLS_SMOKE_001,CHARLS,behavioral_risk,current_smoking,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Current smoking status,TODO_CODEBOOK_CHECK,binary,Harmonize current smoker indicator from verified items,Unknown/refused to missing unless prespecified,covariate,TODO_CODEBOOK_CHECK,not_started,Core confounder and subgroup variable.
CHARLS_SMOKE_002,CHARLS,behavioral_risk,former_smoking,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Former smoking status,TODO_CODEBOOK_CHECK,binary,Harmonize former smoker indicator from verified items,Unknown/refused to missing unless prespecified,covariate,TODO_CODEBOOK_CHECK,not_started,Needed if smoking categories are modeled.
CHARLS_SMOKE_003,CHARLS,behavioral_risk,smoking_intensity,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Cigarettes per day pack-years or comparable intensity item,TODO_CODEBOOK_CHECK,codebook_unit,Use only if codebook and recall window support harmonization,Document nonresponse,covariate_or_sensitivity,TODO_CODEBOOK_CHECK,not_started,Do not invent pack-years if components unavailable.
CHARLS_SOC_001,CHARLS,social_determinants,education,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Educational attainment,TODO_CODEBOOK_CHECK,category,Harmonize to ordered categories after codebook check,Unknown/refused to missing unless prespecified,covariate,TODO_CODEBOOK_CHECK,not_started,Core socioeconomic covariate.
CHARLS_SOC_002,CHARLS,social_determinants,income_or_wealth,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Income wealth consumption or household economic status variable,TODO_CODEBOOK_CHECK,currency_or_index,Prefer documented total household income or wealth measure; adjust or rank within wave if needed,Document nonresponse and imputation,covariate,TODO_CODEBOOK_CHECK,not_started,Use only after definition and units are verified.
CHARLS_SOC_003,CHARLS,social_determinants,urban_rural_or_region,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Residence or geographic context variable,TODO_CODEBOOK_CHECK,category,Harmonize after codebook check,Respect disclosure rules,covariate_or_subgroup,TODO_CODEBOOK_CHECK,not_started,Do not export fine geography if disclosure risk exists.
CHARLS_FRAIL_001,CHARLS,frailty_deficit,grip_strength,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Grip strength measurement,TODO_CODEBOOK_CHECK,kg or codebook_unit,Use verified dominant/max/mean rule; standardize by sex and BMI if prespecified,Flag invalid trials,exposure_component,TODO_CODEBOOK_CHECK,not_started,Possible modified Fried component.
CHARLS_FRAIL_002,CHARLS,frailty_deficit,walking_speed,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Walking speed or timed walk,TODO_CODEBOOK_CHECK,m/s or seconds,Derive speed only after distance and timing units verified,Set unable or unsafe walk according to prespecified rule,exposure_component,TODO_CODEBOOK_CHECK,not_started,Possible modified Fried component.
CHARLS_FRAIL_003,CHARLS,frailty_deficit,exhaustion,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Fatigue or exhaustion symptom item,TODO_CODEBOOK_CHECK,category,Harmonize to binary or score component after codebook check,Unknown/refused to missing unless prespecified,exposure_component,TODO_CODEBOOK_CHECK,not_started,May overlap depression scale; document rule.
CHARLS_FRAIL_004,CHARLS,frailty_deficit,physical_activity,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Physical activity or low activity component,TODO_CODEBOOK_CHECK,category_or_score,Harmonize activity level after codebook check,Document unable/refused responses,exposure_component,TODO_CODEBOOK_CHECK,not_started,Needed for Fried-like frailty if available.
CHARLS_FRAIL_005,CHARLS,frailty_deficit,weight_loss,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Unintentional weight loss or shrinking component,TODO_CODEBOOK_CHECK,binary_or_kg,Harmonize according to verified recall window,Unknown/refused to missing unless prespecified,exposure_component,TODO_CODEBOOK_CHECK,not_started,Needed for Fried-like frailty if available.
CHARLS_FRAIL_006,CHARLS,frailty_deficit,frailty_index_deficits,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Set of deficit variables used to construct a Frailty Index,TODO_CODEBOOK_CHECK,multiple,Map each deficit in a separate dictionary expansion before computing FI,Require minimum non-missing deficit proportion,exposure_or_outcome,TODO_CODEBOOK_CHECK,not_started,This row is a parent concept; expand before analysis.
CHARLS_ADL_001,CHARLS,function,adl_items,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Activities of daily living item set,TODO_CODEBOOK_CHECK,multiple,Harmonize each ADL limitation item to no limitation/limitation,Require item-level mapping before summary,outcome_or_fi_component,TODO_CODEBOOK_CHECK,not_started,Parent concept; expand item rows after codebook check.
CHARLS_ADL_002,CHARLS,function,iadl_items,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Instrumental activities of daily living item set,TODO_CODEBOOK_CHECK,multiple,Harmonize each IADL limitation item to no limitation/limitation,Require item-level mapping before summary,outcome_or_fi_component,TODO_CODEBOOK_CHECK,not_started,Parent concept; expand item rows after codebook check.
CHARLS_COG_001,CHARLS,cognition,episodic_memory,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Immediate or delayed recall concept if available,TODO_CODEBOOK_CHECK,score,Harmonize score direction so higher means better cognition,Document floor and ceiling values,fi_component_or_covariate,TODO_CODEBOOK_CHECK,not_started,Codebook check needed for exact instrument.
CHARLS_COG_002,CHARLS,cognition,mental_status_or_orientation,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Orientation attention or mental status score items,TODO_CODEBOOK_CHECK,score,Harmonize score direction so higher means better cognition,Document missing instrument components,fi_component_or_covariate,TODO_CODEBOOK_CHECK,not_started,Codebook check needed for exact instrument.
CHARLS_DEP_001,CHARLS,depression,depressive_symptom_score,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Depressive symptom scale or item set,TODO_CODEBOOK_CHECK,score,Harmonize score direction and item coding after codebook check,Require minimum answered items,fi_component_or_covariate,TODO_CODEBOOK_CHECK,not_started,Do not assume scale variable name.
CHARLS_HOSP_001,CHARLS,healthcare_use,hospitalization,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Hospitalization or inpatient use during verified recall period,TODO_CODEBOOK_CHECK,binary_or_count,Harmonize recall period and count/binary definition,Document unknown/refused responses,outcome_or_covariate,TODO_CODEBOOK_CHECK,not_started,May support morbidity burden and sensitivity analyses.
CHARLS_DEATH_001,CHARLS,mortality,death_status,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,followup,Death indicator from follow-up or exit status,TODO_CODEBOOK_CHECK,binary,Harmonize absorbing state after source verification,Missing means unknown not alive unless verified,outcome,TODO_CODEBOOK_CHECK,not_started,Required for competing or absorbing state analyses.
CHARLS_DEATH_002,CHARLS,mortality,death_date_or_interval,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,followup,Death date or interval timing if available,TODO_CODEBOOK_CHECK,date_or_interval,Use only if timing source is verified,Document partial dates,outcome_time,TODO_CODEBOOK_CHECK,not_started,Needed for time-to-event if available.
CHARLS_BIO_001,CHARLS,biomarkers,blood_pressure,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,biomarker_waves,Blood pressure measurements if included in biomarker or physical exam files,TODO_CODEBOOK_CHECK,mmHg,Use verified average or trial rule,Flag invalid readings,covariate_or_fi_component,TODO_CODEBOOK_CHECK,not_started,Potential cardiometabolic covariate.
CHARLS_BIO_002,CHARLS,biomarkers,glucose_or_hba1c,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,biomarker_waves,Glucose HbA1c or diabetes-related biomarker,TODO_CODEBOOK_CHECK,codebook_unit,Harmonize units and fasting status if available,Document assay missingness,inflammation_metabolic_component,TODO_CODEBOOK_CHECK,not_started,Component candidate for metabolic imbalance.
CHARLS_BIO_003,CHARLS,biomarkers,lipids,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,biomarker_waves,Lipid biomarkers such as cholesterol fractions or triglycerides when available,TODO_CODEBOOK_CHECK,codebook_unit,Harmonize units before deriving metabolic scores,Document assay missingness,inflammation_metabolic_component,TODO_CODEBOOK_CHECK,not_started,Component candidate for metabolic imbalance.
CHARLS_BIO_004,CHARLS,biomarkers,inflammatory_marker,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,biomarker_waves,Inflammatory biomarker such as CRP if available,TODO_CODEBOOK_CHECK,codebook_unit,Log-transform or rank-normalize only after assay and unit verification,Document values below detection limit,inflammation_metabolic_component,TODO_CODEBOOK_CHECK,not_started,Component candidate for inflammation.
CHARLS_BIO_005,CHARLS,biomarkers,cbc_or_hematology,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,biomarker_waves,CBC or hematology traits if available,TODO_CODEBOOK_CHECK,codebook_unit,Derive NLR/SII/SIRI only after cell-count variables and units are verified,Document differential count availability,inflammation_metabolic_component,TODO_CODEBOOK_CHECK,not_started,Do not derive ratio indices until components are verified.
