dictionary_id,dataset,domain,concept,variable_name,source_component,cycle_or_release,definition,allowed_values,units,derivation_rule,missingness_rule,analysis_role,codebook_status,qa_status,notes
NHANES_ID_001,NHANES,identity,participant_id,SEQN,DEMO,2007-2012 E/F/G,Unique respondent sequence number.,numeric sequence,not_applicable,Direct from DEMO.,Must be non-missing.,key,locked_codebook_v0_1,official_html_verified,Used to merge files within cycle.
NHANES_ID_002,NHANES,identity,cycle,SDDSRVYR,DEMO,2007-2012 E/F/G,NHANES survey cycle identifier.,5=2007-2008;6=2009-2010;7=2011-2012,cycle_code,Direct from DEMO; also retain file suffix labels.,Must be one of selected cycles.,key,locked_codebook_v0_1,official_html_verified,Needed for cycle pooling.
NHANES_DESIGN_001,NHANES,survey_design,psu,SDMVPSU,DEMO,2007-2012 E/F/G,Masked variance pseudo-PSU.,cycle-specific masked values,not_applicable,Direct from DEMO.,Must be non-missing for survey design.,design,locked_official_design_v0_1,official_html_verified,"Public masked variance unit, not true PSU."
NHANES_DESIGN_002,NHANES,survey_design,strata,SDMVSTRA,DEMO,2007-2012 E/F/G,Masked variance pseudo-stratum.,cycle-specific masked values,not_applicable,Direct from DEMO.,Must be non-missing for survey design.,design,locked_official_design_v0_1,official_html_verified,Public masked stratum.
NHANES_DESIGN_003,NHANES,survey_design,interview_weight,WTINT2YR,DEMO,2007-2012 E/F/G,Full-sample two-year interview weight.,positive numeric weight,weight,Use WTINT6YR = WTINT2YR / 3 for questionnaire-only 2007-2012 pooled analyses.,Must be positive for included records.,design_weight,locked_official_design_v0_1,official_html_verified,Not primary when joined to spirometry.
NHANES_DESIGN_004,NHANES,survey_design,exam_weight,WTMEC2YR,DEMO,2007-2012 E/F/G,Full-sample two-year MEC exam weight.,positive numeric weight,weight,"Use WTMEC6YR = WTMEC2YR / 3 for spirometry, body measure, and full-sample exam lab pooled analyses.",Must be positive for included records.,design_weight,locked_official_design_v0_1,official_html_verified,Primary weight for NHANES spirometry replication.
NHANES_DESIGN_005,NHANES,survey_design,lab_weight,NOT_IN_CORE_V0_1,lab,deferred,Subsample lab weight concept.,not_applicable,weight,Not used in the V0.1 core mapping; avoid fasting-subsample labs in primary replication.,not_applicable,design_weight_optional,deferred_not_core_v0_1,not_applicable,Use most restrictive subsample weight if fasting labs are added later.
NHANES_DEMO_001,NHANES,demographics,age,RIDAGEYR,DEMO,2007-2012 E/F/G,Age at screening in years.,numeric years,years,Direct from DEMO; primary replication age >=45.,Check top-coding rules; missing excluded.,covariate,locked_codebook_v0_1,official_html_verified,Core adjustment and restriction.
NHANES_DEMO_002,NHANES,demographics,sex,RIAGENDR,DEMO,2007-2012 E/F/G,Gender/sex variable.,1=male;2=female,category,Direct from DEMO.,Unknown/refused to missing if present.,covariate,locked_codebook_v0_1,official_html_verified,Core adjustment.
NHANES_DEMO_003,NHANES,demographics,race_ethnicity,RIDRETH1,DEMO,2007-2012 E/F/G,Race/ethnicity category.,cycle codebook categories,category,Direct from DEMO; harmonize labels across selected cycles.,Missing/refused to missing.,covariate_or_subgroup,locked_codebook_v0_1,official_html_verified,Use for NHANES calibration and subgroup context.
NHANES_DEMO_004,NHANES,social_determinants,education,DMDEDUC2,DEMO,2007-2012 E/F/G,Education level for adults 20+.,adult education categories,category,Direct from DEMO for adult models.,Refused/don't know to missing.,covariate,locked_codebook_v0_1,official_html_verified,Adult replication uses age >=45.
NHANES_DEMO_005,NHANES,social_determinants,income_or_poverty,INDFMPIR,DEMO,2007-2012 E/F/G,Family income to poverty ratio.,numeric ratio,index,Direct from DEMO.,Document missingness.,covariate,locked_codebook_v0_1,official_html_verified,Socioeconomic covariate.
NHANES_RESP_001,NHANES,low_respiratory_reserve,fev1,SPXNFEV1,SPX,2007-2012 E/F/G,Baseline best-test forced expiratory volume in 1 second.,numeric,mL,Direct from SPX.,Require spirometry quality rule for outcome models.,exposure_or_outcome,locked_codebook_v0_1,official_html_verified,Use with SPXNFVC to define obstruction.
NHANES_RESP_002,NHANES,low_respiratory_reserve,fvc,SPXNFVC,SPX,2007-2012 E/F/G,Baseline best-test forced vital capacity.,numeric,mL,Direct from SPX.,Require spirometry quality rule for outcome models.,exposure_or_outcome,locked_codebook_v0_1,official_html_verified,Use with SPXNFEV1 to define obstruction.
NHANES_RESP_003,NHANES,low_respiratory_reserve,fev1_fvc_ratio,SPXNFEV1;SPXNFVC,derived,2007-2012 E/F/G,Baseline FEV1/FVC ratio.,numeric ratio,ratio,SPXNFEV1 / SPXNFVC after unit and quality checks.,Missing if either component invalid.,outcome,derived_rule_locked_v0_1,official_html_verified,Primary objective cross-sectional respiratory outcome.
NHANES_RESP_004,NHANES,low_respiratory_reserve,pef,SPXNPEF,SPX,2007-2012 E/F/G,Baseline peak expiratory flow.,numeric,mL/s,Direct from SPX; convert to L/min by multiplying by 0.06.,Require valid spirometry and quality sensitivity rules.,exposure_component,locked_codebook_v0_1,official_html_verified,Closest NHANES analog to CHARLS PEF.
NHANES_RESP_005,NHANES,respiratory_outcome,prism,SPXNFEV1;SPXNFVC;RIDAGEYR;RIAGENDR;BMXHT;RIDRETH1,derived,2007-2012 E/F/G,PRISm phenotype candidate.,binary,not_applicable,Requires preserved FEV1/FVC plus low FEV1 percent predicted; prediction equation must be prespecified.,Missing if spirometry/covariates invalid.,outcome_secondary,mapped_requires_prediction_equation_v0_1,official_html_verified,Do not run until percent-predicted method is locked.
NHANES_RESP_006,NHANES,respiratory_outcome,copd_like_spirometry,SPXNFEV1;SPXNFVC;SPXNQFV1;SPXNQFVC,derived,2007-2012 E/F/G,COPD-like spirometric obstruction phenotype.,binary,not_applicable,FEV1/FVC <0.70 primary; LLN sensitivity after prediction equation lock.,Use A/B/C main and A/B strict quality sensitivity.,outcome,derived_rule_locked_v0_1,official_html_verified,Objective cross-sectional replication outcome.
NHANES_RESP_007,NHANES,respiratory_outcome,self_reported_asthma,MCQ010;MCQ035,MCQ,2007-2012 E/F/G,Self-reported asthma history/current asthma.,yes/no/refused/don't know,binary,Ever asthma MCQ010; current asthma MCQ035.,Refused/don't know to missing.,outcome_or_covariate,locked_codebook_v0_1,official_html_verified,Secondary respiratory disease layer.
NHANES_RESP_008,NHANES,respiratory_outcome,self_reported_copd_or_emphysema,MCQ160G;MCQ160K;MCQ170K,MCQ,2007-2012 E/F/G,Self-reported emphysema or chronic bronchitis.,yes/no/refused/don't know,binary,Separate emphysema and chronic bronchitis; optional composite.,Refused/don't know to missing.,outcome_or_covariate,locked_codebook_v0_1,official_html_verified,Self-reported chronic respiratory disease proxy.
NHANES_BODY_001,NHANES,body_measures,height,BMXHT,BMX,2007-2012 E/F/G,Standing height.,numeric,cm,Direct from BMX.,Flag implausible values; missing excluded from respiratory residualization.,covariate,locked_codebook_v0_1,official_html_verified,Needed for PEF residualization.
NHANES_BODY_002,NHANES,body_measures,weight,BMXWT,BMX,2007-2012 E/F/G,Body weight.,numeric,kg,Direct from BMX.,Flag implausible values.,covariate,locked_codebook_v0_1,official_html_verified,Body-size covariate.
NHANES_BODY_003,NHANES,body_measures,bmi,BMXBMI,BMX,2007-2012 E/F/G,Body mass index.,numeric,kg/m2,Use official BMI.,Missing if invalid exam measure.,covariate_or_component,locked_codebook_v0_1,official_html_verified,Metabolic/body-size covariate.
NHANES_BODY_004,NHANES,body_measures,waist_circumference,BMXWAIST,BMX,2007-2012 E/F/G,Waist circumference.,numeric,cm,Direct from BMX.,Missing if invalid exam measure.,metabolic_component,locked_codebook_v0_1,official_html_verified,Optional metabolic domain.
NHANES_SMOKE_001,NHANES,behavioral_risk,current_smoking,SMQ020;SMQ040,SMQ,2007-2012 E/F/G,Current smoking status.,yes/no/current frequency,category,Current smoker if SMQ020 == 1 and SMQ040 indicates every day or some days.,Refused/don't know to missing.,covariate,locked_codebook_v0_1,official_html_verified,Core confounder.
NHANES_SMOKE_002,NHANES,behavioral_risk,former_smoking,SMQ020;SMQ040,SMQ,2007-2012 E/F/G,Former smoking status.,yes/no/current frequency,category,Former smoker if SMQ020 == 1 and SMQ040 indicates not at all.,Refused/don't know to missing.,covariate,locked_codebook_v0_1,official_html_verified,Core confounder.
NHANES_SMOKE_003,NHANES,behavioral_risk,smoking_intensity,SMD030;SMD055;SMD057;SMD650,SMQ,2007-2012 E/F/G,Smoking duration/intensity candidates.,numeric age and cigarettes/day,years;cigarettes/day,Use intensity sensitivity only after pack-year derivation rule is prespecified.,Refused/don't know to missing.,covariate_or_sensitivity,locked_codebook_v0_1_optional,official_html_verified,Avoid invented pack-years in primary model.
NHANES_LAB_001,NHANES,inflammation_metabolic,white_blood_cell_count,LBXWBCSI,CBC,2007-2012 E/F/G,White blood cell count.,numeric,1000 cells/uL,Direct from CBC.,Document missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional inflammation domain.
NHANES_LAB_002,NHANES,inflammation_metabolic,neutrophils,LBXNEPCT;LBXWBCSI,CBC,2007-2012 E/F/G,Neutrophil percent/count candidate.,numeric,percent;1000 cells/uL,Neutrophil count = LBXWBCSI * LBXNEPCT / 100 if needed.,Document missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional NLR/SII component.
NHANES_LAB_003,NHANES,inflammation_metabolic,lymphocytes,LBXLYPCT;LBXWBCSI,CBC,2007-2012 E/F/G,Lymphocyte percent/count candidate.,numeric,percent;1000 cells/uL,Lymphocyte count = LBXWBCSI * LBXLYPCT / 100 if needed.,Document missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional NLR/SII component.
NHANES_LAB_004,NHANES,inflammation_metabolic,platelets,LBXPLTSI,CBC,2007-2012 E/F/G,Platelet count.,numeric,1000 cells/uL,Direct from CBC.,Document missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional SII component.
NHANES_LAB_005,NHANES,inflammation_metabolic,crp,NOT_IN_CORE_V0_1,CRP_or_inflammation,deferred,C-reactive protein concept.,not_applicable,not_applicable,Not included in V0.1 core mapping because comparable full-cycle availability across 2007-2012 is not locked here.,not_applicable,component_optional_deferred,deferred_not_core_v0_1,not_applicable,Can be revisited as a separate lab-specific mapping.
NHANES_LAB_006,NHANES,inflammation_metabolic,glucose_or_hba1c,LBXGH,GHB,2007-2012 E/F/G,Glycohemoglobin.,numeric,percent,Direct from GHB.,Document assay notes and missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional metabolic marker.
NHANES_LAB_007,NHANES,inflammation_metabolic,lipids,LBXTC;LBDHDD,TCHOL;HDL,2007-2012 E/F/G,Total cholesterol and HDL cholesterol.,numeric,mg/dL,Direct from TCHOL and HDL.,Document missingness and assay notes.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional metabolic markers; fasting triglycerides excluded from core.
NHANES_LAB_008,NHANES,inflammation_metabolic,albumin_or_nutrition_marker,LBXSAL,BIOPRO,2007-2012 E/F/G,Albumin.,numeric,g/dL,Direct from BIOPRO.,Document missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional nutrition/inflammation marker.
NHANES_FUNC_001,NHANES,function,functional_limitation,PFQ061A;PFQ061B;PFQ061C;PFQ061F;PFQ061G;PFQ061H;PFQ061I;PFQ061J;PFQ061K;PFQ061L;DPQ010;DPQ020;DPQ030;DPQ040;DPQ050;DPQ060;DPQ070;DPQ080;DPQ090;PAQ605;PAQ620;PAQ635;PAQ650;PAQ665,PFQ;DPQ;PAQ,2007-2012 E/F/G,"Functional limitation, depression, and low-activity frailty proxy candidates.",ordinal/binary/score,mixed,"Build NHANES frailty proxy from mobility/ADL difficulty, PHQ-9 >=10, and low physical activity; no grip component available in this mapping.",Item-specific refused/don't know to missing.,outcome_or_covariate,partial_proxy_locked_v0_1,official_html_verified,"Proxy construct, not identical to CHARLS frailty proxy."
NHANES_MORT_001,NHANES,mortality,death_status,NOT_IN_CORE_V0_1,mortality_linkage,deferred,Death status from linked mortality.,not_applicable,binary,Not included in V0.1 NHANES cross-sectional replication mapping.,not_applicable,outcome_optional,deferred_not_core_v0_1,not_applicable,Can be added after public-use linked mortality file terms and variables are locked.
NHANES_MORT_002,NHANES,mortality,followup_time,NOT_IN_CORE_V0_1,mortality_linkage,deferred,Follow-up time from linked mortality.,not_applicable,time,Not included in V0.1 NHANES cross-sectional replication mapping.,not_applicable,outcome_time_optional,deferred_not_core_v0_1,not_applicable,Can be added after mortality linkage lock.
